mu_g,b,Γ_sch/Γ0,Γ_total/Γ0,Γ_inst,S_inst
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,10.0
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,37.14285714285714
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,64.28571428571428
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,91.42857142857143
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,118.57142857142857
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,145.71428571428572
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,172.85714285714286
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,200.0
0.12,20.0,22.714278466236127,22.714278466236127,0.0,10.0
0.12,20.0,22.714278466236127,22.714278466236127,0.0,37.14285714285714
0.12,20.0,22.714278466236127,22.714278466236127,0.0,64.28571428571428
0.12,20.0,22.714278466236127,22.714278466236127,0.0,91.42857142857143
0.12,20.0,22.714278466236127,22.714278466236127,0.0,118.57142857142857
0.12,20.0,22.714278466236127,22.714278466236127,0.0,145.71428571428572
0.12,20.0,22.714278466236127,22.714278466236127,0.0,172.85714285714286
0.12,20.0,22.714278466236127,22.714278466236127,0.0,200.0
0.23,0.0,63.92981104894294,63.92981104894294,0.0,10.0
0.23,0.0,63.92981104894294,63.92981104894294,0.0,37.14285714285714
0.23,0.0,63.92981104894294,63.92981104894294,0.0,64.28571428571428
0.23,0.0,63.92981104894294,63.92981104894294,0.0,91.42857142857143
0.23,0.0,63.92981104894294,63.92981104894294,0.0,118.57142857142857
0.23,0.0,63.92981104894294,63.92981104894294,0.0,145.71428571428572
0.23,0.0,63.92981104894294,63.92981104894294,0.0,172.85714285714286
0.23,0.0,63.92981104894294,63.92981104894294,0.0,200.0
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,10.0
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,37.14285714285714
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,64.28571428571428
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,91.42857142857143
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,118.57142857142857
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,145.71428571428572
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,172.85714285714286
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,200.0
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,10.0
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,37.14285714285714
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,64.28571428571428
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,91.42857142857143
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,118.57142857142857
